Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E3,08/08/15,Accrington,Luton,1,1,D,0,0,D,G Eltringham,12,10,4,4,12,15,3,4,1,0,0,0,3.2,3.4,2.4,3.1,3.2,2.15,2.8,3.1,2.2,3.1,3.25,2.4,3.08,3.34,2.46,2.9,3.2,2.5,3,3.4,2.5,44,3.25,2.96,3.4,3.19,2.5,2.38,37,2.28,2.16,1.7,1.65,25,0.25,1.82,1.77,2.14,2.06
E3,08/08/15,AFC Wimbledon,Plymouth,0,2,A,0,1,A,B Toner,14,11,3,6,9,7,11,5,1,0,0,0,2.5,3.4,3,2.35,3.25,2.75,2.4,3.1,2.5,2.5,3.2,3,2.58,3.26,2.98,2.5,3.1,3,2.6,3.4,2.9,44,2.6,2.48,3.4,3.16,3,2.83,37,2.38,2.23,1.67,1.61,27,0,1.86,1.8,2.11,2.01
E3,08/08/15,Bristol Rvs,Northampton,0,1,A,0,0,D,M Heywood,2,11,2,3,11,8,1,9,1,1,0,0,2.35,3.4,3.3,2.2,3.25,2.95,2.2,3.1,2.8,2.38,3.25,3.2,2.33,3.41,3.24,2.3,3.1,3.3,2.38,3.4,3.25,44,2.38,2.28,3.41,3.24,3.3,3.09,41,2.2,2.1,1.8,1.7,26,-0.25,2.01,1.95,1.93,1.86
E3,08/08/15,Cambridge,Newport County,3,0,H,1,0,H,D Handley,10,14,7,2,9,12,3,7,1,2,0,0,1.95,3.6,4.33,1.85,3.4,3.75,1.85,3.2,3.5,1.91,3.25,4.5,2.03,3.57,3.9,1.95,3.25,4.2,2.05,3.6,3.9,44,2.05,1.93,3.6,3.36,4.5,3.89,41,2.2,2.1,1.76,1.69,27,-0.5,2.04,1.95,1.92,1.86
E3,08/08/15,Exeter,Yeovil,3,2,H,2,0,H,G Ward,9,6,4,3,5,10,5,5,1,0,0,0,2.45,3.4,3.1,2.4,3.2,2.7,2.3,3.1,2.6,2.4,3.25,3.1,2.47,3.36,3.05,2.5,3.1,3,2.45,3.4,3.1,44,2.5,2.4,3.4,3.21,3.1,2.91,38,2.17,2.09,1.77,1.69,27,0,1.8,1.73,2.2,2.11
E3,08/08/15,Hartlepool,Morecambe,2,0,H,1,0,H,D England,11,15,5,4,12,14,4,4,4,2,0,0,2.45,3.4,3.1,2.4,3.25,2.65,2.2,3.1,2.8,2.5,3.2,3,2.51,3.36,2.99,2.4,3.1,3.1,2.55,3.4,2.9,44,2.55,2.41,3.4,3.2,3.2,2.9,41,2.2,2.09,1.8,1.71,26,-0.25,2.16,2.09,1.79,1.75
E3,08/08/15,Leyton Orient,Barnet,2,0,H,0,0,D,I Williamson,9,8,5,2,9,13,1,3,4,1,0,0,2.15,3.5,3.6,2,3.3,3.4,2,3.2,3.1,2.1,3.25,3.75,2.06,3.42,3.96,2.1,3.1,3.4,2.15,3.5,3.6,44,2.2,2.05,3.5,3.28,3.96,3.55,37,2.27,2.16,1.7,1.65,27,-0.5,2.14,2.05,1.86,1.78
E3,08/08/15,Mansfield,Carlisle,1,1,D,1,1,D,L Swabey,14,10,6,3,13,12,6,5,0,1,0,0,2.45,3.4,3.1,2.4,3.2,2.7,2.4,3.1,2.5,2.4,3.25,3.1,2.5,3.28,3.09,2.5,3.1,3,2.45,3.4,3.1,44,2.5,2.39,3.4,3.19,3.1,2.94,38,2.29,2.18,1.7,1.64,27,0,1.76,1.71,2.28,2.14
E3,08/08/15,Oxford,Crawley Town,1,1,D,0,0,D,J Simpson,9,6,6,2,11,16,6,3,1,3,0,0,1.8,3.75,5,1.72,3.5,4.25,1.8,3.3,3.6,1.8,3.4,5,1.76,3.79,5.06,1.75,3.5,4.6,1.75,3.75,5,39,1.83,1.74,3.79,3.55,5.06,4.63,39,2.11,2.01,1.85,1.76,26,-0.5,1.81,1.75,2.21,2.09
E3,08/08/15,Portsmouth,Dag and Red,3,0,H,0,0,D,C Boyeson,12,4,5,0,3,6,11,2,0,0,0,0,1.7,3.9,5.5,1.62,3.5,5,1.55,3.5,4.8,1.67,3.75,5.5,1.75,3.82,5.11,1.67,3.6,5.5,1.75,3.9,5,44,1.75,1.67,3.9,3.64,6,5.05,43,2.16,2.04,1.82,1.74,24,-0.75,1.99,1.91,1.94,1.9
E3,08/08/15,Stevenage,Notts County,0,2,A,0,1,A,G Salisbury,8,11,3,6,16,16,11,12,1,4,1,1,2.5,3.4,3,2.2,3.2,3,2.2,3.1,2.8,2.4,3.2,3.1,2.5,3.35,3.02,2.5,3.1,3,2.5,3.4,3,44,2.5,2.41,3.4,3.2,3.1,2.9,38,2.29,2.17,1.7,1.64,26,-0.25,2.17,2.08,1.81,1.76
E3,08/08/15,Wycombe,York,3,0,H,2,0,H,O Langford,7,6,3,0,14,13,6,3,3,1,0,0,2.25,3.4,3.5,2.15,3.25,3.1,2.1,3.1,3,2.25,3.2,3.4,2.27,3.37,3.42,2.25,3.1,3.4,2.25,3.4,3.5,44,2.3,2.19,3.4,3.22,3.5,3.28,38,2.28,2.16,1.7,1.65,26,-0.25,1.96,1.89,1.99,1.92
E3,14/08/15,Notts County,Mansfield,0,2,A,0,1,A,T Robinson,13,10,4,4,14,16,3,5,3,4,0,0,1.95,3.6,4.2,1.9,3.4,3.6,1.8,3.3,3.6,1.95,3.5,4,1.94,3.63,4.24,2,3.3,3.6,1.95,3.6,4.33,44,2,1.91,3.63,3.42,4.33,3.86,43,2.05,1.96,1.9,1.8,27,-0.5,1.97,1.91,1.99,1.9
E3,15/08/15,Barnet,Wycombe,0,2,A,0,0,D,C Breakspear,15,12,2,5,10,13,7,2,1,4,0,0,2.9,3.4,2.6,2.6,3.2,2.5,2.3,3.1,2.6,2.7,3.2,2.7,2.95,3.28,2.59,2.8,3.1,2.5,2.9,3.4,2.6,45,2.95,2.77,3.4,3.16,2.88,2.52,39,2.32,2.2,1.68,1.63,28,0,2.11,2,1.9,1.8
E3,15/08/15,Carlisle,Cambridge,4,4,D,2,3,A,R Clark,13,13,5,7,12,14,4,6,2,1,0,0,2.75,3.4,2.75,2.55,3.2,2.55,2.5,3,2.5,2.7,3.2,2.7,2.81,3.35,2.66,2.7,3.1,2.7,2.8,3.5,2.63,45,2.81,2.67,3.5,3.22,2.75,2.58,44,2.15,2.05,1.81,1.73,28,0,2.03,1.94,1.92,1.87
E3,15/08/15,Crawley Town,AFC Wimbledon,1,2,A,1,0,H,D Whitestone,10,11,3,6,6,14,2,6,3,1,0,0,2.4,3.5,3.1,2.3,3.2,2.8,2.2,3.1,2.8,2.4,3.2,3.1,2.45,3.39,3.06,2.4,3.1,3.1,2.45,3.5,3,45,2.45,2.36,3.5,3.24,3.1,2.93,44,2.11,2.02,1.85,1.76,27,-0.25,2.14,2.04,1.83,1.79
E3,15/08/15,Dag and Red,Leyton Orient,1,3,A,0,2,A,G Ward,12,15,4,5,9,7,4,4,0,0,0,0,4,3.4,2.1,3.4,3.3,2,3.1,3.2,2,3.6,3.3,2.1,4.05,3.47,2.02,3.6,3.2,2.1,4,3.4,2.05,45,4.05,3.75,3.47,3.28,2.1,2,39,2.26,2.15,1.71,1.65,24,0.25,2.23,2.14,1.76,1.71
E3,15/08/15,Luton,Oxford,2,2,D,1,0,H,M Brown,13,15,5,5,9,11,10,10,0,1,0,0,2.38,3.3,3.3,2.05,3.25,3.25,2,3.2,3.1,2.25,3.2,3.4,2.4,3.3,3.23,2.3,3.1,3.3,2.4,3.4,3.2,40,2.42,2.29,3.4,3.17,3.4,3.14,36,2.39,2.25,1.66,1.6,26,-0.25,2.07,1.98,1.9,1.84
E3,15/08/15,Morecambe,Accrington,1,0,H,1,0,H,S Attwell,7,15,4,4,7,6,5,6,1,1,0,0,2.25,3.6,3.3,2.1,3.2,3.2,2.2,3.1,2.8,2.25,3.2,3.4,2.23,3.5,3.38,2.3,3.1,3.3,2.25,3.6,3.3,45,2.3,2.2,3.6,3.3,3.4,3.19,44,2.09,2.01,1.85,1.77,27,-0.25,1.97,1.91,1.99,1.91
E3,15/08/15,Newport County,Stevenage,2,2,D,0,1,A,N Kinseley,12,11,4,3,8,9,9,4,0,2,0,0,2.9,3.4,2.6,2.55,3.2,2.55,2.45,3.1,2.45,2.7,3.2,2.7,2.9,3.29,2.62,2.8,3.1,2.62,2.9,3.4,2.6,45,2.9,2.77,3.4,3.16,2.7,2.52,39,2.29,2.19,1.7,1.63,28,0,2.1,2,1.86,1.81
E3,15/08/15,Northampton,Exeter,3,0,H,2,0,H,R Joyce,12,7,6,4,13,10,4,3,2,2,0,0,2.1,3.5,3.8,1.87,3.4,3.7,1.85,3.2,3.5,2.05,3.3,3.6,2.07,3.53,3.81,2.1,3.3,3.6,2.15,3.5,3.6,45,2.15,2.04,3.53,3.32,4,3.56,44,2.04,1.96,1.9,1.81,28,-0.5,2.12,2.04,1.86,1.79
E3,15/08/15,Plymouth,Portsmouth,1,2,A,0,1,A,S Martin,8,12,4,7,18,8,6,5,3,3,0,0,2.5,3.4,3,2.45,3.2,2.65,2.5,3.1,2.4,2.5,3.25,2.8,2.51,3.28,3.05,2.5,3.2,2.9,2.5,3.4,3,45,2.55,2.45,3.4,3.16,3.05,2.87,39,2.28,2.17,1.7,1.64,27,0,1.85,1.76,2.16,2.07
E3,15/08/15,Yeovil,Bristol Rvs,0,1,A,0,0,D,B Malone,4,16,1,8,9,7,3,11,0,0,1,0,2.6,3.4,2.9,2.35,3.3,2.7,2.3,3.1,2.6,2.4,3.25,2.9,2.64,3.27,2.89,2.6,3.1,2.8,2.6,3.4,2.9,45,2.64,2.5,3.4,3.16,3,2.81,39,2.32,2.22,1.68,1.61,24,-0.25,2.24,2.14,1.76,1.72
E3,15/08/15,York,Hartlepool,1,2,A,0,0,D,S Stockbridge,14,12,8,5,10,10,10,3,1,3,0,0,2.1,3.4,4,2,3.25,3.4,2,3.2,3.1,2.1,3.25,3.75,2.08,3.42,3.89,2.1,3.3,3.6,2.05,3.5,4,45,2.11,2.02,3.5,3.26,4.17,3.69,39,2.41,2.26,1.64,1.6,26,-0.25,1.79,1.74,2.2,2.11
E3,18/08/15,Accrington,Mansfield,1,0,H,1,0,H,D England,12,6,5,2,14,16,6,2,3,7,0,0,2.5,3.4,3,2.35,3.2,2.8,2.3,3.1,2.6,2.5,3.3,2.88,2.57,3.45,2.85,2.5,3.2,2.9,2.6,3.4,2.88,40,2.6,2.47,3.45,3.24,3,2.79,38,2.08,2.01,1.86,1.76,26,0,1.87,1.81,2.06,2
E3,18/08/15,AFC Wimbledon,Cambridge,1,2,A,1,0,H,A Woolmer,11,10,5,4,6,10,7,6,2,1,0,0,2.55,3.5,2.9,2.35,3.2,2.75,2.4,3.1,2.5,2.5,3.3,2.88,2.5,3.52,2.89,2.5,3.2,2.9,2.55,3.5,2.88,40,2.6,2.43,3.52,3.28,3,2.81,39,2.05,1.96,1.9,1.81,26,0,1.84,1.79,2.11,2.02
E3,18/08/15,Barnet,Northampton,2,0,H,0,0,D,L Swabey,10,8,4,5,8,12,6,4,1,1,0,1,3.1,3.4,2.45,2.7,3.2,2.4,2.45,3.1,2.45,2.88,3.3,2.5,3.12,3.45,2.38,2.8,3.1,2.6,3,3.4,2.5,40,3.12,2.87,3.45,3.24,2.6,2.41,38,2.12,2.03,1.81,1.74,24,0,2.24,2.09,1.85,1.73
E3,18/08/15,Crawley Town,Portsmouth,0,0,D,0,0,D,F Graham,4,9,1,3,12,6,0,8,2,0,0,0,4.2,3.6,1.95,3.25,3.25,2.05,3.1,3.2,2,3.6,3.4,2.05,3.94,3.64,1.99,3.6,3.3,2.05,3.8,3.6,2.05,40,4.2,3.7,3.64,3.41,2.05,1.97,39,2,1.92,1.91,1.84,26,0.5,1.95,1.87,2,1.94
E3,18/08/15,Dag and Red,Exeter,1,2,A,0,1,A,I Williamson,15,9,4,3,13,11,5,5,1,0,0,0,2.75,3.4,2.7,2.55,3.2,2.55,2.3,3.1,2.6,2.6,3.25,2.75,2.82,3.36,2.65,2.62,3.25,2.7,2.75,3.4,2.63,40,2.82,2.64,3.4,3.25,2.75,2.58,38,2.12,2.02,1.82,1.75,26,0,2.02,1.93,1.93,1.87
E3,18/08/15,Hartlepool,Newport County,1,0,H,0,0,D,B Toner,8,13,3,3,5,7,5,5,1,0,0,0,2.25,3.4,3.5,2.1,3.25,3.2,1.9,3.2,3.4,2.15,3.3,3.5,2.25,3.53,3.31,2.25,3.3,3.2,2.25,3.5,3.3,40,2.25,2.19,3.53,3.32,3.5,3.2,39,2.05,1.95,1.92,1.82,25,-0.25,1.97,1.9,1.97,1.91
E3,18/08/15,Leyton Orient,Stevenage,3,0,H,0,0,D,C Sarginson,12,7,4,2,10,9,8,13,1,4,0,0,1.8,3.7,5,1.8,3.4,4,1.9,3.2,3.4,1.83,3.5,4.5,1.81,3.72,4.77,1.83,3.4,4.5,1.87,3.7,4.6,40,1.9,1.79,3.72,3.49,5,4.45,38,2.12,2.01,1.84,1.76,26,-0.5,1.84,1.79,2.13,2.04
E3,18/08/15,Luton,Bristol Rvs,0,1,A,0,0,D,T Kettle,4,15,1,3,10,9,2,8,2,2,0,0,2.15,3.4,3.75,2.1,3.2,3.2,1.85,3.2,3.5,1.95,3.4,4,2.13,3.29,3.9,2.15,3.2,3.6,2.1,3.5,3.75,40,2.15,2.06,3.5,3.22,4,3.6,34,2.42,2.26,1.67,1.59,25,-0.25,1.84,1.79,2.12,2.03
E3,18/08/15,Morecambe,Wycombe,0,1,A,0,0,D,M Haywood,10,12,5,4,14,14,10,2,0,3,0,0,3.1,3.5,2.4,2.9,3.2,2.25,2.6,3.1,2.3,3.1,3.25,2.4,3.29,3.41,2.31,3.1,3.3,2.3,3.2,3.5,2.3,40,3.29,3.07,3.5,3.27,2.4,2.27,38,2.17,2.04,1.81,1.73,25,0.25,1.92,1.86,2.03,1.96
E3,18/08/15,Oxford,Notts County,3,1,H,1,1,D,R Lewis,16,7,8,3,10,11,11,4,1,3,0,0,2.05,3.6,3.8,2,3.25,3.4,2,3.2,3.1,2.05,3.4,3.6,2.07,3.54,3.79,2.1,3.3,3.5,2.1,3.6,3.7,35,2.1,2.01,3.6,3.37,3.85,3.61,35,2.12,2.03,1.81,1.74,25,-0.5,2.08,2.01,1.89,1.82
E3,18/08/15,Plymouth,Carlisle,4,1,H,1,0,H,O Langford,12,11,7,7,4,7,2,8,1,0,0,0,1.95,3.5,4.5,1.9,3.3,3.7,1.9,3.2,3.4,1.95,3.4,4,1.95,3.67,4.09,1.95,3.25,4.2,1.95,3.6,4.1,40,1.96,1.9,3.67,3.42,4.5,3.95,39,2.07,1.97,1.89,1.79,26,-0.5,1.97,1.9,1.98,1.92
E3,18/08/15,York,Yeovil,1,0,H,0,0,D,M Brown,13,4,5,1,10,15,7,1,1,0,0,0,1.95,3.5,4.33,1.95,3.2,3.6,1.9,3.2,3.4,1.95,3.4,4.2,1.93,3.47,4.42,1.91,3.25,4.33,1.95,3.5,4.33,40,2,1.9,3.5,3.34,4.42,4.06,36,2.28,2.19,1.7,1.64,26,-0.5,1.94,1.9,1.99,1.92
E3,22/08/15,Bristol Rvs,Barnet,3,1,H,1,0,H,R Joyce,15,8,7,2,6,13,9,1,2,1,0,0,2,3.5,4.2,2,3.2,3.5,1.9,3.2,3.4,2.05,3.3,3.8,2.04,3.45,4,2.05,3.25,3.8,2,3.6,4,40,2.05,1.97,3.6,3.32,4.2,3.82,34,2.32,2.22,1.67,1.62,18,-0.25,1.76,1.7,2.27,2.17
E3,22/08/15,Cambridge,Crawley Town,0,3,A,0,1,A,N Miller,12,10,6,3,9,11,7,4,1,1,0,1,1.7,4,5.5,1.67,3.4,4.75,1.65,3.4,4.2,1.73,3.6,5,1.68,3.95,5.54,1.73,3.6,5,1.7,4,5.4,40,1.73,1.66,4,3.66,5.54,5.06,39,2.05,1.97,1.88,1.79,19,-0.75,1.89,1.85,2.03,1.95
E3,22/08/15,Carlisle,AFC Wimbledon,1,1,D,0,1,A,D Drysdale,11,10,5,5,8,7,10,1,3,1,0,0,2.6,3.4,2.9,2.35,3.2,2.8,2.5,3,2.5,2.5,3.3,2.9,2.6,3.46,2.8,2.62,3.1,2.8,2.63,3.4,2.75,40,2.66,2.52,3.46,3.26,2.9,2.71,39,2.05,1.96,1.9,1.81,18,0,1.9,1.84,2.02,1.95
E3,22/08/15,Exeter,York,0,0,D,0,0,D,J Linington,15,7,5,2,7,9,6,3,1,3,0,0,2.5,3.4,3,2.2,3.25,2.95,2.5,3,2.5,2.4,3.25,3,2.44,3.46,3.02,2.5,3.1,3,2.5,3.4,3,39,2.6,2.42,3.46,3.25,3.02,2.86,38,2.16,2.06,1.8,1.73,23,-0.25,2.14,2.07,1.82,1.76
E3,22/08/15,Mansfield,Oxford,1,1,D,1,0,H,B Toner,7,9,2,4,19,9,1,3,6,3,0,0,3.4,3.4,2.3,3,3.2,2.2,2.8,3.1,2.2,3.25,3.25,2.3,3.37,3.4,2.28,3.3,3.1,2.3,3.3,3.5,2.3,35,3.4,3.19,3.5,3.27,2.31,2.21,31,2.23,2.12,1.74,1.68,24,0.25,1.97,1.9,1.98,1.91
