HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
Watford,Man United,,,,,4.5,3.75,1.72,4.75,3.7,1.7,4.75,3.7,1.7,4.2,3.5,1.8,4.75,3.5,1.75,4.6,3.5,1.8,5,3.4,1.87
Newcastle,Leicester,,,,,2.8,3.4,2.4,2.55,3.4,2.6,2.55,3.4,2.6,2.65,3.3,2.5,2.8,3.4,2.4,2.75,3.4,2.5,2.9,3.6,2.45
Southampton,Stoke,,,,,1.66,3.75,5,1.67,3.7,5,1.67,3.7,5,1.65,3.6,5.1,1.62,3.75,5.75,1.67,3.6,5.5,1.57,4,7
Swansea,Bournemouth ,,,,,1.75,3.75,4.33,1.75,3.6,4.5,1.75,3.6,4.5,1.8,3.5,4.2,1.73,3.6,4.75,1.75,3.6,4.75,1.87,3.7,4.5
West Brom,Arsenal,,,,,6,4,1.53,6,4.2,1.5,6,4.2,1.5,5.6,3.9,1.55,6,4.2,1.5,6,4.2,1.53,7,4.5,1.5
Everton,Aston Villa,,,,,1.5,4,7,1.5,4,6.5,1.5,4,6.5,1.5,4,6.5,1.5,4,7,1.5,4,7,1.57,4.2,7
Chelsea,Norwich,,,,,1.5,4,7,1.4,4.4,7.5,1.4,4.4,7.5,1.4,4.4,7.3,1.44,4.33,7.5,1.44,4.4,7,1.44,4.75,8
Man City,Liverpool,,,,,1.75,3.75,4.5,1.72,3.8,4.4,1.72,3.8,4.4,1.7,3.6,4.7,1.7,3.8,4.75,1.73,3.8,4.6,1.65,4,5.75
Wolfsburg,Werder Bremen,,,,,1.44,4.5,6.5,1.45,4.75,6,1.45,4.75,6,1.55,4,5.5,1.5,4.5,6,1.61,4.2,5,1.6,4.4,5
Ein Frankfurt,Leverkusen,,,,,4.5,3.75,1.72,4.55,3.75,1.72,4.55,3.75,1.72,3.1,3.3,2.2,4.5,3.8,1.7,3.6,3.75,1.95,3.6,3.8,1.95
FC Koln,Mainz,,,,,2.05,3.4,3.5,2.2,3.3,3.2,2.2,3.3,3.2,2.2,3.2,3.2,2.05,3.5,3.4,2.05,3.6,3.4,2.1,3.6,3.4
M'gladbach,Hannover,,,,,1.44,4.33,7,1.5,4,6.5,1.5,4,6.5,1.55,4,5.5,1.48,4.2,7,1.6,4,5.5,1.55,4.3,5.75
Stuttgart,Augsburg,,,,,1.8,3.75,4.2,1.85,3.5,4.15,1.85,3.5,4.15,2,3.3,3.6,1.75,3.8,4.33,1.85,4,3.75,1.87,4,3.8
Schalke 04,Bayern Munich,,,,,9,5,1.33,8.5,5.5,1.3,8.5,5.5,1.3,10,5.2,1.27,10,5.75,1.29,11,6,1.25,13,6.5,1.22
Sociedad,Sevilla,,,,,2.6,3.2,2.7,2.6,3.2,2.7,2.6,3.2,2.7,2.65,3.3,2.5,2.62,3.3,2.62,2.62,3.4,2.6,2.7,3.5,2.55
Real Madrid,Barcelona,,,,,2.2,3.5,3.1,2.1,3.7,3.1,2.1,3.7,3.1,2.1,3.5,3.2,2.05,3.7,3,2.2,3.8,2.9,2.2,3.8,3
Espanol,Malaga,,,,,2.5,3.1,2.9,2.35,3.1,3.1,2.35,3.1,3.1,2.5,3.2,2.75,2.5,3.1,2.8,2.4,3.1,3.1,2.38,3.25,3.12
Valencia,Las Palmas,,,,,1.5,4,7,1.5,3.9,6.75,1.5,3.9,6.75,1.4,4.4,7.3,1.48,4.2,6.5,1.5,4.2,6.5,1.5,4.33,6.5
La Coruna,Celta,,,,,3.4,3.3,2.15,3.4,3.25,2.15,3.4,3.25,2.15,2.9,3.3,2.3,3.1,3.4,2.25,2.9,3.4,2.37,3,3.5,2.3
Bologna,Roma,,,,,6,3.8,1.57,5.75,3.75,1.6,5.75,3.75,1.6,4.7,3.6,1.7,5.5,3.8,1.62,4.75,3.6,1.75,5.4,3.6,1.7
Juventus,AC Milan,,,,,1.57,4,5.75,1.6,3.8,5.5,1.6,3.8,5.5,1.6,3.7,5.4,1.62,3.75,5.75,1.61,3.6,6,1.6,3.7,6.5
Bastia,Ajaccio,,,,,2,3.4,3.75,2,3.25,3.8,2,3.25,3.8,2.1,3.15,3.45,2.05,3.2,3.8,2.05,3.1,4,2,3.12,4.33
Guingamp,Toulouse,,,,,1.85,3.5,4.2,2,3.4,3.6,2,3.4,3.6,2,3.2,3.75,1.91,3.4,4.2,2.15,3.25,3.5,2.05,3.4,3.7
Monaco,Nantes,,,,,1.57,4,5.5,1.65,3.6,5.5,1.65,3.6,5.5,1.7,3.5,4.85,1.65,3.6,5.75,1.7,3.4,5.5,1.7,3.5,5.75
Montpellier,Reims,,,,,2,3.4,3.75,2,3.3,3.7,2,3.3,3.7,2.1,3.15,3.45,2,3.3,3.8,2.1,3.1,3.8,2,3.25,4.1
Troyes,Lille,,,,,3.6,3.5,2,3.4,3.25,2.15,3.4,3.25,2.15,3.3,3.1,2.2,3.6,3.2,2.15,3.6,3.2,2.15,3.75,3.1,2.15
Sp Gijon,Levante,,,,,2.05,3.2,3.75,2.05,3.2,3.7,2.05,3.2,3.7,2.1,3.3,3.3,2.1,3.2,3.6,2.2,3.1,3.5,2.15,3.3,3.6
Villarreal,Eibar,,,,,1.57,3.6,6.5,1.5,3.75,7.25,1.5,3.75,7.25,1.55,3.9,5.6,1.48,4,7,1.5,4,7,1.5,4.2,7
Granada,Bilbao,,,,,3.4,3.2,2.2,3.5,3.1,2.15,3.5,3.1,2.15,3.6,3.3,2,3.6,3.4,2,3.6,3.4,2.05,3.75,3.5,2
Betis,Atletico Madrid,,,,,4.5,3.5,1.8,5,3.6,1.7,5,3.6,1.7,4.7,3.6,1.7,5.75,3.75,1.62,6,3.6,1.61,5.75,3.9,1.62
Verona,Napoli,,,,,6,4,1.53,6,4,1.53,6,4,1.53,7.3,4.4,1.4,5.75,4,1.55,7,4.5,1.44,9,4.8,1.36
Udinese,Sampdoria,,,,,2,3.3,3.8,2,3.3,3.75,2,3.3,3.75,2.1,3.3,3.3,2.05,3.3,3.75,2.15,3.25,3.5,2.1,3.2,3.8
Genoa,Sassuolo,,,,,2.1,3.3,3.5,2.05,3.25,3.6,2.05,3.25,3.6,2.1,3.3,3.3,2,3.3,3.75,2.05,3.4,3.6,2.05,3.2,4
Lazio,Palermo,,,,,1.5,4.33,6,1.5,4.1,6.25,1.5,4.1,6.25,1.5,4,6.1,1.5,4,6.5,1.5,4.2,6.5,1.45,4.2,8
Fiorentina,Empoli,,,,,1.44,4.33,7,1.45,4.33,6.75,1.45,4.33,6.75,1.5,4,6.1,1.48,4.2,7,1.55,4,6,1.5,4.2,7
Carpi,Chievo,,,,,2.9,3.1,2.5,2.75,3.1,2.6,2.75,3.1,2.6,2.7,3.1,2.6,2.8,3.1,2.62,2.8,3.1,2.62,2.88,2.9,2.75
Atalanta,Torino,,,,,2.6,3.1,2.8,2.6,3.1,2.75,2.6,3.1,2.75,2.5,3.15,2.8,2.5,3.1,2.8,2.5,3.2,2.9,2.6,3,3
Inter Milan,Frosinone,,,,,1.22,6,13,1.22,6,12.5,1.22,6,12.5,1.2,5.8,13,1.22,6,13,1.22,6,13,1.17,7,19
Caen,Angers,,,,,1.95,3.1,4.33,1.85,3.25,4.5,1.85,3.25,4.5,1.9,3.35,3.9,1.95,3.25,4,1.95,3.2,4.2,1.85,3.3,4.8
Rennes,Bordeaux,,,,,2.25,3.3,3.2,2.3,3.1,3.2,2.3,3.1,3.2,2.3,3.1,3.1,2.25,3.1,3.4,2.37,3,3.25,2.38,3.1,3.3
Saint,Marseille,,,,,2.3,3.3,3.1,2.3,3.3,3,2.3,3.3,3,2.3,3.1,3.1,2.3,3.25,3,2.37,3.25,3,2.4,3.4,3
Hertha,Hoffenheim,,,,,2.05,3.5,3.4,2.15,3.3,3.3,2.15,3.3,3.3,2.1,3.3,3.3,2.1,3.3,3.4,2.05,3.5,3.5,2.1,3.5,3.5
Ingolstadt,Darmstadt,,,,,2,3.4,3.75,2.1,3.3,3.4,2.1,3.3,3.4,2.2,3.2,3.2,2.05,3.2,3.8,2.05,3.1,4,2,3.3,4
Tottenham,West Ham,,,,,1.66,3.75,5,1.65,3.8,5,1.65,3.8,5,1.7,3.6,4.7,1.62,4,5.25,1.67,4,4.75,1.5,4.4,7
Getafe,Vallecano,,,,,2.3,3.3,3.1,2.3,3.25,3.1,2.3,3.25,3.1,2.2,3.2,3.2,2.25,3.3,3.1,2.37,3.4,2.9,2.38,3.4,3
Crystal,Sunderland,,,,,1.61,3.75,5.5,1.62,3.7,5.5,1.62,3.7,5.5,1.7,3.6,4.7,1.6,4,5.5,1.6,4,5.5,1.55,4.1,7
