FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,3,2,1,1.66,3.4,4.5,1.6,3.6,4.75,1.7,3.4,4.4,1.7,3.3,4,,,,1.67,3.4,4.33,1.66,3.3,4.5,1.65,2,1.7,1.392,-0.5,,,,,,
1,1,1,0,1.9,3.25,3.5,1.95,3.35,3.3,1.9,3.25,3.5,1.9,3.2,3.4,,,,1.91,3.25,3.4,1.8,3.3,3.75,1.6,2.1,1.9,1.69,-0.5,,,,,,
3,2,1,2,2,3.25,3.25,1.9,3.4,3.4,1.91,3.25,3.5,2.2,3,2.9,,,,1.91,3.25,3.4,2,3.2,3.2,1.65,2,1.91,1.69,-0.5,,,,,,
2,0,2,0,2.2,3.25,2.8,2.2,3.25,2.85,2.2,3.2,2.9,2.1,3.1,3,,,,2.25,3.2,2.75,2.25,3.2,2.75,1.71,1.95,2.2,1.52,-0.5,,,,,,
2,5,2,1,5,3.6,1.57,4.5,3.55,1.65,5,3.5,1.6,3.8,3.3,1.75,,,,4.75,3.4,1.62,6,3.4,1.5,1.6,2.1,2.06,1.6,0.5,,,,,,
1,0,0,0,2.2,3.25,2.8,2.1,3.3,3,2.2,3.2,2.9,2.3,3,2.7,,,,2.25,3.2,2.75,2.15,3.3,2.8,1.71,1.95,2.2,1.52,-0.5,,,,,,
6,1,2,1,1.16,5.5,13,1.25,5.25,8,1.2,5.5,11,1.2,5,10,,,,1.17,5.5,11,1.16,6,10,,,1.2,3.67,-0.5,,,,,,
0,0,0,0,2.1,3.25,3,2,3.35,3.2,2.1,3.25,3.05,2.2,3,2.9,,,,2.1,3.2,3,1.95,3.3,3.25,1.75,1.9,2.1,1.57,-0.5,,,,,,
2,3,0,2,4,3.5,1.72,4,3.45,1.75,4.3,3.4,1.7,3.8,3.3,1.75,,,,4.33,3.4,1.67,4.5,3.5,1.61,1.65,2,1.9,1.7,0.5,,,,,,
1,0,1,0,1.8,3.3,3.75,1.8,3.3,3.75,1.83,3.25,3.9,1.8,3.1,3.8,,,,1.8,3.25,3.8,1.72,3.4,4,1.65,2,1.83,1.77,-0.5,,,,,,
1,2,1,0,2.2,3.25,2.75,2.1,3.3,3,2.2,3.3,2.85,2.3,3,2.7,,,,2.2,3.1,2.88,1.95,3.3,3.25,1.6,2.1,2.2,1.53,-0.5,,,,,,
3,4,1,2,1.9,3.25,3.4,2,3.15,3.3,1.9,3.3,3.55,1.8,3.1,3.8,,,,1.91,3.2,3.5,1.9,3.3,3.3,1.65,2,1.9,1.71,-0.5,,,,,,
5,1,1,0,1.44,3.75,6,1.45,3.8,6,1.45,3.75,6.5,1.45,3.8,5.4,,,,1.4,3.75,7,1.4,3.75,7,1.5,2.3,2.03,1.48,-1.5,,,,,,
1,0,0,0,2.2,3.25,2.75,2.2,3.25,2.85,2.15,3.2,3,2.1,3,3.1,,,,2.2,3.25,2.75,2.25,3.3,2.62,1.65,2,2.15,1.55,-0.5,,,,,,
6,2,2,1,1.22,5,9,1.2,6,9,1.22,5,11,1.25,4.5,9,,,,1.22,5,9.5,1.25,5,8,,,1.22,3.44,-0.5,,,,,,
1,1,1,1,2.3,3.4,2.5,2.1,3.3,3,2.35,3.25,2.65,2.2,3,2.9,,,,2.2,3.2,2.8,2.2,3.3,2.7,1.65,2,2.35,1.46,-0.5,,,,,,
5,1,1,1,1.66,3.4,4.33,1.65,3.4,4.6,1.72,3.3,4.45,1.7,3.2,4.2,,,,1.67,3.4,4.33,1.61,3.3,5,1.55,2.2,1.72,1.89,-0.5,,,,,,
0,4,0,0,3.5,3.2,1.9,3.4,3.4,1.9,3.5,3.2,1.95,3.5,3.1,1.9,,,,3.5,3.2,1.91,3.3,3.3,1.9,1.5,2.3,1.67,1.95,0.5,,,,,,
1,2,0,2,2.5,3.1,2.5,2.3,3.25,2.7,2.5,3.2,2.5,2.3,3,2.7,,,,2.5,3.1,2.5,2.5,3.3,2.37,1.75,1.9,2.5,1.4,-0.5,,,,,,
2,2,1,1,4.5,3.5,1.61,4.5,3.55,1.65,4.45,3.5,1.66,4.6,3.4,1.6,,,,4.5,3.3,1.67,4.33,3.4,1.66,1.5,2.3,1.96,1.66,0.5,,,,,,
1,2,0,1,2.37,3.1,2.62,2.3,3.25,2.7,2.3,3.25,2.7,2.6,3,2.4,,,,2.4,3.1,2.6,2.37,3.3,2.5,1.71,1.95,2.3,1.47,-0.5,,,,,,
2,1,0,1,1.44,3.75,6,1.45,3.8,6.2,1.4,3.95,7,1.4,3.9,6,,,,1.4,3.75,7,1.4,3.75,7,1.6,2.1,1.4,2.53,-0.5,,,,,,
4,1,3,1,2.25,3.2,2.75,2.2,3.25,2.85,2.2,3.25,2.85,2.3,3,2.7,,,,2.25,3.2,2.75,2.37,3.3,2.5,1.71,1.95,2.2,1.52,-0.5,,,,,,
1,1,0,1,1.25,5,8,1.2,6,9,1.22,5.25,10,1.25,4.5,9,,,,1.25,4.75,8.5,1.28,4.5,8,1.4,2.6,1.22,3.44,-0.5,,,,,,
2,2,1,1,2.1,3.2,3,2.1,3.3,3,2.1,3.3,3,2,3,3.3,,,,2.1,3.2,3,2.1,3.3,2.87,1.79,1.85,2.1,1.57,-0.5,,,,,,
1,1,0,1,4,3.4,1.72,4.5,3.55,1.65,4.1,3.4,1.75,4,3.2,1.75,,,,4,3.4,1.73,3.75,3.3,1.8,1.6,2.1,1.86,1.75,0.5,,,,,,
1,3,1,1,1.66,3.4,4.33,1.7,3.5,4.2,1.7,3.4,4.35,1.8,3.1,3.8,,,,1.67,3.4,4.33,1.7,3.4,4.2,1.75,1.9,1.7,1.91,-0.5,,,,,,
5,0,3,0,1.4,3.75,7,1.4,3.9,7,1.5,3.6,6,1.5,3.7,5,1.444,3.6,6.5,1.44,3.75,6,1.35,4.2,7,1.57,2.25,1.5,2.25,-0.5,,,,,,
2,0,0,0,1.444,3.75,6,1.5,3.75,5.6,1.5,3.6,6,1.5,3.7,5,1.5,3.4,6,1.5,3.6,5.5,1.35,4.2,7,1.5,2.3,1.5,2.25,-0.5,,,,,,
1,0,0,0,1.25,5,8,1.25,5.25,8,1.25,5,9,1.2,5,10,1.25,4.5,9,1.22,5,9.5,1.22,5,9.5,1.4,2.6,1.25,3.21,-0.5,,,,,,
4,1,0,1,2.375,3.1,2.625,2.35,3.25,2.65,2.35,3.1,2.75,2.3,3,2.7,2.375,3.25,2.5,2.37,3.1,2.6,2.3,3.25,2.6,1.71,1.95,2.35,1.46,-0.5,,,,,,
3,1,2,0,2.25,3.2,2.75,2.2,3.25,2.85,2.2,3.2,2.9,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.75,2.3,3.25,2.6,1.65,2,2.2,1.52,-0.5,,,,,,
3,3,1,3,5.5,3.6,1.5,5.55,3.75,1.5,6,3.6,1.5,5,3.7,1.5,6,3.75,1.44,5.5,3.6,1.5,6,3.75,1.44,1.5,2.3,2.25,1.5,0.5,,,,,,
3,1,1,1,1.3,4.5,7.5,1.25,5.25,8,1.3,4.5,8.3,1.3,4.2,8,1.25,4.5,9,1.3,4.5,7.5,1.3,4.33,8,1.5,2.3,1.3,2.92,-0.5,,,,,,
2,3,1,2,2.25,3.2,2.75,2.3,3.25,2.7,2.25,3.3,2.75,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.25,3.25,2.7,1.71,1.95,2.25,1.5,-0.5,,,,,,
1,0,0,0,1.727,3.4,4,1.8,3.4,3.8,1.8,3.25,4,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.25,3.8,1.7,3.4,4.2,1.65,2,1.8,1.79,-0.5,,,,,,
0,4,0,1,2.5,3.1,2.5,2.25,3.3,2.75,2.45,3.35,2.45,2.2,3,2.9,2.4,3.25,2.5,2.3,3.2,2.62,2.25,3.2,2.75,1.65,2,2.45,1.42,-0.5,,,,,,
2,2,0,0,2.25,3.2,2.75,2.15,3.3,2.9,2.25,3.15,2.85,2.3,3,2.7,2.25,3.2,2.75,2.2,3.25,2.75,2.2,3.25,2.75,1.65,2,2.25,1.5,-0.5,,,,,,
3,0,1,0,1.83,3.2,3.75,1.9,3.4,3.4,1.8,3.25,4,1.8,3.1,3.8,1.8,3.4,3.6,1.83,3.2,3.75,1.85,3.3,3.6,1.6,2.1,1.8,1.79,-0.5,,,,,,
0,3,0,1,4.5,3.5,1.61,4.45,3.55,1.65,4.55,3.5,1.65,5,3.7,1.5,4.5,3.25,1.67,4.5,3.5,1.62,5,3.5,1.57,1.5,2.3,1.98,1.65,0.5,,,,,,
0,0,0,0,2.1,3.2,3,2,3.35,3.2,2.1,3.3,3,1.9,3.1,3.5,2,3.2,3.2,2.1,3.2,3,2,3.3,3.1,1.65,2,2.1,1.57,-0.5,,,,,,
2,0,1,0,1.83,3.2,3.75,1.9,3.4,3.4,1.85,3.25,3.8,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.25,3.4,1.8,3.4,3.6,1.65,2,1.85,1.75,-0.5,,,,,,
0,5,0,2,6,3.75,1.44,5.6,3.75,1.5,6,4.3,1.4,6,3.9,1.4,6.5,4,1.4,6,3.75,1.44,6,3.75,1.44,1.45,2.45,2.5,1.4,0.5,,,,,,
0,3,0,1,1.33,4.33,7,1.3,4.5,8.25,1.3,4.3,9,1.35,4,7,1.33,4,8,1.33,4,8,1.33,4,8,1.45,2.45,1.3,2.91,-0.5,,,,,,
1,1,0,1,2.2,3.25,2.75,2.1,3.3,3,2.15,3.3,2.9,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3,2.15,3.3,2.8,1.65,2,2.15,1.54,-0.5,,,,,,
1,0,0,0,1.25,5,8,1.25,5.25,8,1.27,4.5,9.5,1.25,4.5,9,1.3,4,9,1.25,4.75,8.5,1.28,4.5,8,1.83,1.83,1.27,3.05,-0.5,1.98,1.86,-1.75,,,
3,1,2,1,1.83,3.2,3.75,1.8,3.4,3.8,1.8,3.4,3.8,1.8,3.1,3.8,1.67,3.25,4.5,1.8,3.25,3.8,1.75,3.35,3.9,1.65,2,1.75,1.84,-0.5,1.76,2.08,-0.5,,,
4,0,0,0,1.36,4,7,1.3,4.5,8.25,1.3,4.5,8,1.35,4,7,1.3,4.33,8,1.36,4,7,1.3,4.33,8,1.5,2.3,1.3,2.88,-0.5,1.78,2.06,-1.25,,,
0,4,0,2,4.33,3.4,1.66,5.25,3.6,1.55,5,3.5,1.6,4.6,3.4,1.6,5.5,3.6,1.5,5,3.5,1.57,4.5,3.5,1.61,1.55,2.2,2.25,1.5,0.5,2.02,1.82,1,,,
0,0,0,0,1.53,3.6,5,1.5,3.75,5.6,1.5,3.6,6,1.45,3.8,5.4,1.5,3.6,5.5,1.53,3.6,5.25,1.55,3.5,5.2,1.55,2.2,1.5,2.25,-0.5,1.92,1.92,-1.25,,,
0,0,0,0,2.5,3.1,2.5,2.45,3.2,2.55,2.4,3.2,2.6,2.7,3,2.3,2.38,3.25,2.5,2.5,3.1,2.5,2.35,3.3,2.55,1.71,1.95,2.4,1.43,-0.5,,,,,,
0,0,0,0,2.25,3.2,2.75,2.15,3.3,2.9,2.15,3.3,2.9,2.2,3,2.9,2.25,3.2,2.75,2.2,3.2,2.8,2.15,3.3,2.8,1.71,1.95,2.15,1.54,-0.5,2,1.84,-0.25,,,
0,4,0,3,1.9,3.2,3.5,1.9,3.4,3.4,1.85,3.3,3.75,1.85,3.1,3.6,1.8,3.2,4,1.91,3.25,3.4,1.75,3.3,4,1.65,2,1.85,1.76,-0.5,2,1.84,-0.5,,,
2,0,1,0,1.53,3.6,5.5,1.4,4,6.75,1.45,3.7,6.5,1.45,3.8,5.4,1.5,3.6,5.5,1.53,3.6,5.25,1.5,3.4,6,1.55,2.2,1.45,2.36,-0.5,1.92,1.92,-1.25,,,
3,0,3,0,1.66,3.4,4.33,1.7,3.5,4.2,1.65,3.4,4.75,1.65,3.3,4.2,,,,1.67,3.4,4.33,1.57,3.6,4.8,1.6,2.1,1.4,2.07,-0.5,,,,,,
3,2,3,1,1.57,3.5,5,1.5,3.75,5.6,1.5,3.7,5.75,1.55,3.5,4.8,1.57,3.5,5,1.53,3.6,5.25,1.6,3.5,4.75,1.55,2.2,1.5,2.25,-0.5,1.84,2,-1.25,,,
3,0,2,0,1.2,5,11,1.15,6.5,11,1.15,6.5,11,1.15,6,12,1.14,5.5,15,1.17,5.5,12,1.12,6.5,12,1.4,2.6,1.15,4.09,-0.5,1.7,2.14,-2,,,
2,3,1,2,2.2,3.2,2.8,2.1,3.3,3,2.2,3.2,2.9,2.2,3,2.9,2.2,3.2,2.8,2.25,3.2,2.75,2.2,3.3,2.7,1.71,1.95,2.2,1.52,-0.5,1.98,1.86,0,,,
3,2,3,0,2.1,3.2,3,2.1,3.3,3,2.1,3.2,3.1,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3,2,3.3,3.1,1.65,2,2.1,1.57,-0.5,1.82,2.02,-0.25,,,
0,0,0,0,4,3.4,1.72,4,3.25,1.8,3.5,3.3,1.9,3.5,3.1,1.9,3.25,3.4,1.91,3.6,3.25,1.85,3.1,3.4,1.95,1.55,2.2,1.7,1.9,0.5,1.84,2,0.5,,,
4,2,2,1,1.16,6,15,1.15,6.5,11,1.15,6.5,11,1.15,6,12,1.14,6,12,1.17,5.5,12,1.16,6,10,1.4,2.6,1.15,4.09,-0.5,1.82,2.02,-2.25,,,
1,0,0,0,1.44,3.6,6.5,1.45,3.8,6.2,1.45,3.7,6.5,1.5,3.7,5,1.5,3.6,5.5,1.5,3.6,5.5,1.5,3.6,5.5,1.6,2.1,1.45,2.36,-0.5,1.96,1.88,-1.25,,,
3,2,0,1,1.72,3.2,4.33,1.75,3.45,4,1.75,3.45,4,1.65,3.3,4.2,1.73,3.4,4,1.73,3.25,4.2,1.7,3.4,4.2,1.65,2,1.75,1.85,-0.5,1.96,1.88,-0.75,,,
1,3,0,1,3.75,3.2,1.83,4.1,3.35,1.75,4.2,3.25,1.75,3.8,3.1,1.8,3.75,3.2,1.83,3.75,3.25,1.8,3.4,3.3,1.9,1.6,2.1,1.95,1.67,0.5,2.1,1.74,0.5,,,
1,3,1,0,1.3,4.33,8,1.3,4.5,8.25,1.3,4.4,8.5,1.33,4,7.5,1.33,4,8,1.3,4.5,7.5,1.33,4.2,7.5,1.55,2.2,1.3,2.9,-0.5,1.98,1.86,-1.5,,,
2,1,1,0,1.9,3.2,3.5,1.9,3.4,3.4,2,3.25,3.3,2,3.1,3.2,1.8,3.4,3.6,2,3.2,3.2,2,3.3,3.1,1.65,2,2,1.64,-0.5,2.02,1.82,-0.5,,,
0,2,0,1,6,3.75,1.44,6.5,4,1.4,7,3.9,1.4,7,4,1.35,6.5,4,1.4,6.5,3.6,1.44,7,3.75,1.4,,,,,2.5,1.4,0.5,2.06,1.78,1.25,
3,0,1,0,2.75,3.2,2.25,2.85,3.25,2.2,2.75,3.25,2.25,3.3,3,2,3,3.2,2.1,2.75,3.2,2.25,2.75,3.2,2.25,1.65,2,1.49,2.25,0.5,1.96,1.88,0.25,,,
0,2,0,0,3.5,3.2,1.9,3.4,3.4,1.9,3.6,3.25,1.9,3.5,3.1,1.9,3.2,3.5,1.91,3.4,3.25,1.91,3.4,3.25,1.9,1.6,2.1,1.71,1.9,0.5,1.96,1.88,0.5,,,
1,2,1,2,1.83,3.2,3.75,1.85,3.4,3.6,1.85,3.35,3.65,1.8,3.3,3.6,1.8,3.4,3.6,1.85,3.4,3.4,1.9,3.3,3.4,1.6,2.1,1.85,1.75,-0.5,1.94,1.9,-0.5,,,
2,2,2,1,1.9,3.2,3.5,1.9,3.4,3.4,1.95,3.25,3.45,1.9,3.2,3.4,1.91,3.4,3.25,1.91,3.25,3.4,1.9,3.3,3.4,1.71,1.95,1.95,1.67,-0.5,2,1.84,-0.5,,,
4,2,1,1,1.66,3.4,4.33,1.65,3.55,4.45,1.63,3.45,4.65,1.6,3.4,4.6,1.62,3.5,4.5,1.67,3.4,4.33,1.7,3.4,4.2,1.55,2.2,1.63,1.98,-0.5,1.8,2.04,-0.75,,,
3,3,2,1,2,3.2,3.2,2.1,3.3,3,2.05,3.2,3.2,2.1,3,3.1,2,3.2,3.2,2.1,3.2,3,2.05,3.2,3.1,1.55,2.2,2.05,1.6,-0.5,1.8,2.04,-0.25,,,
0,1,0,0,2.3,3.2,2.7,2.2,3.25,2.85,2.3,3.1,2.8,2.4,3,2.6,2.4,3.25,2.5,2.3,3.1,2.7,2.2,3.3,2.75,1.71,1.95,2.3,1.47,-0.5,2.04,1.8,-0.25,,,
0,3,0,1,2.25,3.2,2.75,2.3,3.25,2.7,2.3,3.1,2.8,2.4,3,2.6,2.2,3.25,2.75,2.3,3.1,2.7,2.55,3.1,2.45,1.71,1.95,2.3,1.47,-0.5,2.02,1.82,0,,,
4,0,1,0,1.28,4.5,8,1.3,4.5,8.25,1.3,4.5,8.5,1.33,4,7.5,1.25,4.5,10,1.3,4.5,7.5,1.28,4.5,8,1.45,2.45,1.3,2.94,-0.5,1.96,1.88,-1.5,,,
1,2,0,1,2.1,3.2,3,2.1,3.3,3,2.1,3.2,3.1,2.1,3,3.1,2,3.4,3,2.1,3.2,3,2.15,3.3,2.8,1.71,1.95,2.1,1.57,-0.5,1.92,1.92,-0.25,,,
2,1,0,0,2,3.2,3.2,1.9,3.25,3.65,2,3.15,3.4,1.9,3.1,3.5,2,3.4,3,2,3.2,3.2,1.9,3.25,3.4,1.6,2.1,2,1.64,-0.5,1.76,2.08,-0.25,,,
2,0,1,0,2,3.2,3.2,1.95,3.35,3.3,2.05,3.2,3.2,1.9,3.1,3.5,2,3.2,3.2,2,3.2,3.2,2,3.2,3.2,1.6,2.1,2.05,1.6,-0.5,2.06,1.78,-0.5,,,
5,0,1,0,1.5,3.6,5.5,1.5,3.65,5.75,1.45,3.8,6.25,1.5,3.7,5,1.5,3.4,6,1.5,3.6,5.5,1.55,3.5,5.25,1.6,2.1,1.45,2.36,-0.5,1.88,1.96,-1.25,,,
0,1,0,0,2.3,3.25,2.62,2.4,3.2,2.6,2.3,3.2,2.75,2.2,3,2.9,2.4,3.25,2.5,2.3,3.25,2.62,2.2,3.35,2.7,1.71,1.95,2.3,1.48,-0.5,,,,,,
2,2,0,1,2.87,3.4,2.1,3.2,3.35,2,3,3.3,2.1,3.1,3,2.1,3,3.2,2.1,3,3.2,2.1,2.7,3.35,2.2,1.71,1.95,1.57,2.1,0.5,,,,,,
4,0,3,0,2.1,3.2,3,2,3.3,3.25,2.15,3.25,2.95,2.1,3,3.1,2,3.2,3.2,2.1,3.2,3,2.1,3.35,2.85,1.55,2.2,2.15,1.55,-0.5,,,,,,
0,0,0,0,3.75,3.4,1.8,3.8,3.4,1.8,4,3.4,1.72,3.6,3.1,1.85,3.6,3.4,1.8,4,3.3,1.75,3.6,3.4,1.8,1.55,2.2,1.84,1.72,0.5,2.08,1.76,0.5,,,
1,1,0,1,1.8,3.4,3.75,1.8,3.4,3.8,1.8,3.4,3.8,1.8,3.1,3.8,1.8,3.5,3.5,1.85,3.25,3.6,1.75,3.4,3.8,1.6,2.1,1.8,1.79,-0.5,1.8,2.04,-0.5,,,
1,4,0,1,1.9,3.4,3.4,1.95,3.35,3.3,2,3.25,3.3,1.9,3.1,3.5,2,3.2,3.2,1.91,3.25,3.4,1.85,3.4,3.4,1.6,2.1,2,1.64,-0.5,2.08,1.76,-0.5,,,
3,0,0,0,1.44,3.75,6.5,1.5,3.75,5.6,1.45,3.75,6.5,1.45,3.8,5.4,1.4,3.75,7,1.44,3.75,6,1.4,3.9,6.5,1.5,2.3,2.03,1.48,-1.5,1.8,2.04,-1.25,,,
1,0,1,0,1.28,4.5,9,1.3,4.5,8.25,1.3,4.75,7.5,1.3,4.2,8,1.3,4,9,1.3,4.33,8,1.25,5,8,1.5,2.3,1.76,1.66,-1.5,1.82,2.02,-1.5,,,
4,1,1,1,3,3.25,2.1,2.7,3.25,2.3,2.95,3.25,2.15,2.9,3,2.2,3,3.2,2.1,3,3.2,2.1,2.75,3.25,2.2,1.6,2.1,1.55,2.15,0.5,1.96,1.88,0.25,,,
2,4,1,1,3.75,3.3,1.8,3.8,3.4,1.8,3.5,3.3,1.8,3.4,3.2,1.9,3.5,3.4,1.83,3.2,3.2,2,3.2,3.2,2,1.6,2.1,,,,1.9,1.94,0.5,,,
4,3,2,1,1.83,3.25,3.75,1.85,3.35,3.65,1.75,3.35,4.15,1.85,3.1,3.6,1.73,3.4,4,1.85,3.25,3.6,1.8,3.4,3.6,1.64,2,1.75,1.85,-0.5,1.84,2,-0.5,,,
3,0,2,0,1.9,3.25,3.4,1.85,3.35,3.65,1.9,3.25,3.6,1.9,3.2,3.4,1.91,3.25,3.4,1.91,3.25,3.4,1.9,3.4,3.25,1.65,2,1.9,1.71,-0.5,1.94,1.9,-0.5,1.975,1.875,-0.5
0,0,0,0,2.3,3.1,2.7,2.7,3.25,2.3,2.5,3.2,2.5,2.7,3,2.3,,,,2.4,3.2,2.5,2.5,3.1,2.5,1.65,2,2.5,1.4,-0.5,1.94,1.9,0,1.925,1.925,0
4,0,1,0,1.72,3.4,4,1.8,3.4,3.8,1.67,3.4,4.5,1.7,3.3,4,1.67,3.4,4.33,1.73,3.25,4.2,1.65,3.55,4.2,1.6,2.1,1.67,1.94,-0.5,1.76,2.08,-0.5,1.95,1.9,-0.75
0,3,0,1,8,4.5,1.28,7.2,4.25,1.35,7,4.4,1.35,7.5,4,1.33,,,,8,4,1.33,8,4,1.33,1.5,2.3,1.6,1.85,1.5,2.12,1.72,1.25,1.975,1.875,1.5
4,0,1,0,1.33,4,8,1.35,4.2,7.5,1.35,4.2,7.5,1.35,4,7,1.33,4,8,1.33,4,8,1.33,4,8,1.45,2.45,1.85,1.6,-1.5,2.12,1.72,-1.5,1.8,2.05,-1.25
1,2,1,1,1.83,3.4,3.5,1.8,3.4,3.8,1.85,3.4,3.6,1.8,3.1,3.8,1.8,3.4,3.6,1.83,3.3,3.6,1.8,3.4,3.6,1.6,2.1,1.85,1.75,-0.5,1.88,1.96,-0.5,1.875,1.975,-0.5
1,0,0,0,2,3.2,3.2,1.9,3.4,3.4,2,3.2,3.35,2,3.1,3.2,1.91,3.4,3.25,2,3.2,3.2,1.9,3.3,3.35,1.65,2,2,1.64,-0.5,2.06,1.78,-0.5,2.1,1.75,-0.5
1,3,1,2,3.5,3.4,1.83,3.2,3.35,2,3.75,3.3,1.85,3.6,3.1,1.85,3.5,3.4,1.83,3.4,3.25,1.91,3.75,3.3,1.8,1.55,2.2,1.76,1.85,0.5,1.98,1.86,0.5,1.9,1.95,0.5
5,1,3,1,1.9,3.25,3.4,1.9,3.4,3.4,2,3.25,3.3,2,3.1,3.2,1.91,3.25,3.4,2,3.2,3.2,1.9,3.25,3.4,1.71,1.95,2,1.64,-0.5,2,1.84,-0.5,2.1,1.75,-0.5
0,3,0,0,1.72,3.4,4,1.7,3.5,4.2,1.75,3.3,4.2,1.75,3.2,4,1.67,3.25,4.5,1.7,3.4,4.2,1.65,3.4,4.5,1.55,2.2,1.75,1.85,-0.5,1.76,2.08,-0.5,1.75,2.1,-0.5
0,3,0,1,2.5,3.25,2.4,2.8,3.2,2.25,2.55,3.2,2.45,2.9,3,2.2,2.5,3.25,2.38,2.5,3.25,2.4,2.65,3.3,2.25,1.55,2.2,1.42,2.45,0.5,2.02,1.82,0,2.1,1.75,0
0,2,0,1,1.83,3.2,3.75,2,3.35,3.2,2,3.25,3.3,1.9,3.2,3.4,1.83,3.4,3.5,1.91,3.2,3.5,1.85,3.3,3.6,1.71,1.95,2,1.64,-0.5,2.02,1.82,-0.5,2,1.85,-0.5
1,0,1,0,1.25,4.5,10,1.25,5.25,8,1.26,4.65,9.5,1.22,4.8,9.5,1.2,5,11,1.25,5,8,1.2,5,11,1.45,2.45,1.69,1.74,-1.5,1.98,1.86,-1.75,1.925,1.925,-1.75
1,1,1,1,2,3.2,3.2,2,3.35,3.2,2,3.25,3.3,2,3.1,3.2,2,3.2,3.2,2,3.2,3.2,2,3.2,3.2,1.65,2,2,1.64,-0.5,1.92,1.92,-0.25,1.9,1.95,-0.25
3,1,0,1,1.53,3.5,5.5,1.6,3.5,5,1.65,3.5,4.55,1.6,3.4,4.6,1.62,3.25,5,1.62,3.5,4.5,1.6,3.6,4.5,1.6,2.1,1.65,1.98,-0.5,1.72,2.12,-0.75,1.975,1.875,-1
1,1,0,1,1.83,3.2,3.75,1.9,3.4,3.4,1.9,3.3,3.55,1.85,3.1,3.6,1.91,3.2,3.5,1.91,3.25,3.4,1.85,3.25,3.6,1.65,2,1.9,1.71,-0.5,1.92,1.92,-0.5,1.95,1.9,-0.5
