FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,0,2,0,1.9,3.1,4.33,1.9,3.25,4.0,2.0,3.25,3.5,1.85,3.1,3.6,1.73,3.2,4.33,1.91,3.25,3.75,1.8,3.1,4.0,1.91,1.79,2.05,1.75,1.7,2.05,-0.25,2.02,1.82,-0.5,2.0,1.9,-0.5
1,1,0,1,1.8,3.1,5.0,1.8,3.25,4.5,1.77,3.3,4.75,1.8,3.1,3.8,1.67,3.25,4.5,1.73,3.4,4.33,1.9,2.87,4.0,1.85,1.85,2.0,1.8,1.77,1.95,-0.5,1.8,2.04,-0.5,1.85,2.05,-0.5
4,1,2,0,2.25,3.2,3.1,2.1,3.2,3.3,2.25,3.2,3.1,2.2,3.0,2.9,2.2,3.0,3.0,2.25,3.2,2.88,2.15,3.2,2.9,1.86,1.85,2.0,1.8,2.0,1.85,-0.25,2.04,1.8,-0.25,2.0,1.9,-0.25
1,1,1,0,2.1,3.25,3.4,2.1,3.2,3.3,2.1,3.25,3.25,2.0,3.1,3.2,2.1,3.2,3.0,2.0,3.25,3.4,2.05,3.1,3.2,1.85,1.85,1.9,1.9,1.85,2.0,-0.25,1.78,2.06,-0.25,1.85,2.05,-0.25
2,2,0,1,2.3,3.25,3.0,2.4,3.2,2.7,2.35,3.15,2.95,2.3,3.1,2.6,2.25,3.2,2.75,2.3,3.25,2.8,2.37,3.0,2.7,1.9,1.79,2.0,1.8,,,,1.94,1.9,-0.25,1.8,2.1,0.0
1,1,1,0,2.1,3.25,3.4,2.1,3.2,3.3,2.15,3.2,3.2,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.25,3.2,2.0,3.1,3.3,1.9,1.79,1.95,1.85,1.9,1.95,-0.25,1.8,2.04,-0.25,1.825,2.075,-0.25
1,1,1,1,2.4,3.2,2.87,2.25,3.2,3.0,2.45,3.2,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.3,3.2,2.8,2.3,3.2,2.62,1.95,1.75,2.0,1.8,1.85,2.0,0.0,2.08,1.76,-0.25,1.8,2.1,0.0
1,1,0,1,3.1,3.2,2.25,3.0,3.2,2.25,2.75,3.2,2.4,2.7,3.0,2.3,2.75,3.2,2.25,3.0,3.2,2.2,2.75,3.1,2.3,1.85,1.85,1.9,1.9,1.95,1.9,0.25,2.04,1.8,0.25,1.975,1.925,0.25
1,0,1,0,2.1,3.25,3.4,2.15,3.1,3.2,2.1,3.25,3.35,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.25,3.2,2.0,3.2,3.2,1.9,1.79,1.95,1.85,1.6,2.2,0.0,2.0,1.84,-0.5,1.85,2.05,-0.25
1,4,0,2,6.0,3.4,1.61,5.0,3.4,1.7,4.75,3.3,1.77,4.0,3.2,1.75,5.0,3.25,1.62,5.0,3.3,1.67,5.5,3.1,1.61,1.75,1.95,1.9,1.9,1.95,1.9,0.75,1.96,1.88,0.75,2.05,1.85,0.75
0,1,0,0,4.5,3.2,1.83,4.25,3.4,1.75,4.5,3.25,1.83,3.8,3.1,1.8,4.33,3.2,1.73,4.5,3.4,1.73,4.33,2.87,1.83,1.9,1.79,1.95,1.85,1.9,1.95,0.75,1.88,1.96,0.75,1.9,2.0,0.75
2,1,1,0,2.0,3.2,3.75,1.9,3.25,3.75,2.05,3.3,3.5,1.9,3.1,3.5,1.8,3.25,3.75,2.0,3.2,3.5,1.83,3.2,3.75,1.85,1.85,1.9,1.9,1.7,2.05,-0.25,2.04,1.8,-0.5,2.075,1.825,-0.5
1,3,1,1,2.3,3.25,3.0,2.25,3.1,3.0,2.35,3.2,2.95,2.1,3.0,3.1,2.2,3.2,2.8,2.3,3.2,2.88,2.2,3.2,2.8,1.85,1.85,1.95,1.85,2.0,1.75,-0.25,1.8,2.04,0.0,1.8,2.1,0.0
2,0,1,0,2.25,3.2,3.1,2.2,3.2,3.0,2.25,3.2,3.1,2.0,3.1,3.2,2.1,3.2,3.0,2.2,3.2,3.0,2.15,3.2,2.9,1.85,1.85,1.9,1.9,1.65,2.15,0.0,1.96,1.88,-0.25,1.95,1.95,-0.25
2,1,0,1,1.57,3.5,6.5,1.6,3.5,5.25,1.61,3.5,5.75,1.5,3.7,5.0,1.57,3.25,5.5,1.53,3.6,6.0,1.57,3.3,5.5,1.79,1.9,1.85,1.95,2.2,1.6,-1.25,2.0,1.84,-1.0,2.075,1.825,-1.0
2,1,1,0,1.25,5.0,13.0,1.25,5.0,10.0,1.31,4.75,9.5,1.3,4.2,8.0,1.22,5.0,10.0,1.25,5.0,10.0,1.28,4.5,8.0,1.71,2.0,1.75,2.05,1.65,2.15,-1.25,2.02,1.82,-1.5,2.1,1.8,-1.5
0,1,0,0,1.66,3.4,5.5,1.7,3.45,4.45,1.73,3.3,5.0,1.65,3.3,4.4,1.62,3.25,5.0,1.62,3.4,5.5,1.66,3.1,5.0,1.79,1.9,1.85,1.95,2.15,1.65,-1.0,1.92,1.92,-0.75,2.0,1.9,-0.75
3,2,1,0,2.3,3.25,3.0,2.2,3.2,3.0,2.3,3.2,3.0,2.1,3.0,3.1,2.1,3.2,3.0,2.25,3.25,2.88,2.15,3.1,3.0,1.95,1.75,2.05,1.75,1.65,2.15,0.0,2.0,1.84,-0.25,2.05,1.85,-0.25
5,3,1,1,1.36,4.33,9.0,1.35,4.0,9.0,1.36,4.25,9.0,1.4,3.9,6.0,1.25,4.5,10.0,1.33,4.33,8.5,1.33,4.0,8.0,1.65,2.05,1.7,2.1,1.71,2.05,-1.25,2.08,1.76,-1.5,2.125,1.775,-1.5
1,1,1,1,2.87,3.2,2.4,2.65,3.1,2.5,2.8,3.2,2.45,2.7,3.0,2.3,2.88,3.0,2.25,2.8,3.1,2.38,2.62,2.9,2.5,1.95,1.75,2.05,1.75,1.75,2.12,0.25,1.72,2.12,0.25,1.775,2.125,0.25
1,0,1,0,1.9,3.1,4.33,1.95,3.25,3.6,1.93,3.25,3.95,1.9,3.1,3.5,1.91,3.2,3.5,1.91,3.25,3.75,1.83,3.2,3.75,1.95,1.75,2.05,1.75,2.2,1.6,-0.75,2.12,1.72,-0.5,1.8,2.1,-0.25
0,2,0,1,8.5,3.75,1.44,7.5,3.6,1.45,7.5,3.75,1.47,5.0,3.7,1.5,6.5,3.6,1.44,7.0,3.75,1.44,6.5,3.6,1.44,1.85,1.85,1.85,1.95,2.05,1.7,1.0,2.12,1.72,1.0,1.9,2.0,1.25
3,0,0,0,1.28,5.0,10.0,1.25,5.0,10.0,1.3,4.8,10.0,1.25,4.5,9.0,1.22,5.0,10.0,1.29,4.5,10.0,1.22,5.0,9.5,1.55,2.2,1.65,2.15,1.3,3.24,-0.5,1.9,1.94,-1.5,1.875,2.025,-1.5
3,0,2,0,2.5,3.2,2.75,2.4,3.2,2.7,2.35,3.2,2.95,2.3,3.0,2.7,2.5,3.2,2.5,2.38,3.2,2.75,2.3,3.1,2.75,1.95,1.75,2.0,1.8,2.35,1.53,-0.5,1.82,2.02,0.0,1.8,2.1,0.0
0,2,0,0,2.5,3.2,2.75,2.3,3.25,2.8,2.4,3.2,2.85,2.3,3.0,2.7,2.2,3.25,2.75,2.38,3.2,2.75,2.3,3.1,2.75,1.95,1.75,1.95,1.85,2.4,1.51,-0.5,2.1,1.74,-0.25,1.75,2.15,0.0
2,2,1,0,1.44,4.0,7.5,1.45,3.7,7.0,1.51,3.5,7.5,1.45,3.8,5.4,1.44,3.6,6.5,1.44,3.75,7.0,1.5,3.4,6.0,1.75,1.95,1.8,2.0,2.25,1.46,-1.5,2.08,1.76,-1.25,2.125,1.775,-1.25
1,2,0,2,2.25,3.2,3.1,2.1,3.2,3.2,2.35,3.2,2.95,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.2,3.0,2.3,3.1,2.75,1.95,1.75,1.95,1.85,2.35,1.53,-0.5,2.06,1.78,-0.25,2.05,1.85,-0.25
1,1,1,1,2.75,3.2,2.5,2.5,3.25,2.55,2.85,3.2,2.4,2.6,3.0,2.4,2.5,3.25,2.4,2.6,3.2,2.5,2.75,3.1,2.3,1.95,1.75,2.05,1.75,1.51,2.4,0.5,1.76,2.08,0.25,2.1,1.8,0.0
4,2,1,2,2.4,3.2,2.87,2.25,3.2,2.9,2.4,3.25,2.8,2.3,3.0,2.7,2.2,3.2,2.8,2.3,3.2,2.88,2.3,3.0,2.8,1.95,1.75,2.0,1.8,1.8,2.05,0.0,1.86,1.98,0.0,1.8,2.1,0.0
1,1,1,0,5.0,3.4,1.72,4.0,3.2,1.85,4.2,3.3,1.85,3.5,3.1,1.9,4.5,3.25,1.67,4.5,3.4,1.73,4.0,3.0,1.83,1.85,1.85,1.9,1.9,1.85,1.85,0.5,2.0,1.84,0.5,2.1,1.8,0.5
2,1,2,1,1.28,5.0,10.0,1.3,4.5,9.0,1.3,4.7,10.0,1.25,4.5,9.0,1.29,4.0,10.0,1.29,4.5,10.0,1.3,4.2,8.5,1.71,2.0,1.75,2.05,1.85,1.85,-1.75,2.02,1.82,-1.75,1.85,2.05,-1.5
2,1,1,1,2.0,3.2,3.75,1.85,3.2,4.0,2.0,3.25,3.65,2.0,3.1,3.2,1.91,3.2,3.5,1.91,3.25,3.75,2.05,2.87,3.5,1.95,1.75,2.05,1.75,1.7,2.05,-0.25,2.0,1.84,-0.5,2.075,1.825,-0.5
4,0,2,0,2.25,3.2,3.1,1.9,3.25,3.75,2.15,3.25,3.25,2.1,3.0,3.1,2.0,3.2,3.2,2.2,3.2,3.0,2.1,3.1,3.1,1.85,1.85,1.95,1.85,1.85,2.0,-0.25,1.86,1.98,-0.25,1.85,2.05,-0.25
2,1,0,0,1.44,4.0,7.5,1.55,3.45,6.0,1.55,3.5,6.5,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.6,6.5,1.53,3.5,5.5,1.79,1.9,1.85,1.95,1.85,2.0,-1.0,1.96,1.88,-1.25,1.8,2.1,-1.0
1,4,0,3,9.0,4.33,1.36,7.0,3.75,1.45,7.5,4.1,1.42,6.0,3.9,1.4,7.0,3.75,1.4,7.5,4.0,1.4,8.0,4.0,1.33,1.65,2.05,1.65,2.2,1.9,1.95,1.25,2.0,1.84,1.25,1.9,2.0,1.25
1,0,1,0,2.0,3.2,3.75,1.9,3.25,3.75,2.1,3.25,3.4,2.1,3.0,3.1,1.83,3.2,3.75,2.0,3.2,3.5,2.15,3.1,3.0,1.9,1.79,2.0,1.8,1.8,2.05,-0.25,2.12,1.72,-0.5,2.1,1.8,-0.5
1,0,1,0,3.2,3.25,2.2,3.0,3.2,2.2,3.2,3.2,2.2,2.9,3.0,2.2,3.2,3.2,2.0,3.0,3.2,2.2,3.0,3.1,2.15,1.85,1.85,1.9,1.9,1.95,1.9,0.25,2.0,1.84,0.25,1.975,1.925,0.25
0,0,0,0,1.28,5.0,10.0,1.3,4.5,9.0,1.33,4.5,9.5,1.3,4.2,8.0,1.286,4.333,9.0,1.3,4.5,9.0,1.28,4.33,8.5,1.6,2.15,1.7,2.1,1.8,2.05,-1.25,1.82,2.02,-1.25,1.9,2.0,-1.25
4,3,3,2,2.3,3.25,3.0,2.3,3.2,2.85,2.3,3.2,3.0,2.2,3.0,2.9,2.38,3.2,2.6,2.25,3.25,2.88,2.15,3.1,3.0,1.9,1.79,2.0,1.8,2.05,1.8,-0.25,,,,,,
0,0,0,0,4.333,3.1,1.909,3.8,3.2,1.9,3.8,3.3,1.95,3.5,3.1,1.9,3.75,3.25,1.8,3.75,3.25,1.9,3.5,3.2,1.9,1.95,1.75,2.1,1.7,2.05,1.7,0.25,1.94,1.9,0.5,1.925,1.975,0.5
2,2,0,1,3.75,3.5,1.909,3.55,3.3,1.9,3.8,3.3,1.95,3.2,3.1,2.0,3.6,3.4,1.8330000000000002,3.75,3.25,1.9,3.5,3.2,1.9,1.79,1.9,1.95,1.85,2.1,1.67,0.25,1.86,1.98,0.5,1.875,2.025,0.5
0,3,0,0,7.0,3.6,1.5330000000000001,7.25,4.0,1.4,7.5,3.9,1.45,4.8,3.5,1.55,6.5,3.6,1.444,6.0,3.6,1.53,7.0,3.5,1.44,1.65,2.05,1.61,2.25,2.05,1.8,1.0,2.06,1.78,1.0,2.025,1.875,1.0
3,0,2,0,1.444,3.75,8.5,1.5,3.55,6.5,1.55,3.6,6.5,1.4,3.9,6.0,1.4,3.75,7.0,1.4,4.0,7.5,1.5,3.4,6.0,1.79,1.9,1.8,2.0,1.67,2.1,-1.0,1.84,2.0,-1.25,1.95,1.95,-1.25
0,1,0,0,1.909,3.1,4.333,1.9,3.25,3.75,1.9,3.2,4.2,1.8,3.1,3.8,2.0,3.2,3.2,1.9,3.25,3.75,2.0,3.2,3.2,1.85,1.85,1.85,1.95,1.65,2.15,-0.25,1.92,1.92,-0.5,1.925,1.975,-0.5
2,1,1,1,1.909,3.1,4.333,1.8,3.2,4.3,1.9,3.2,4.2,1.9,3.1,3.5,1.8,3.25,3.75,1.9,3.25,3.75,2.0,3.1,3.3,1.9,1.79,2.05,1.75,1.65,2.15,-0.25,1.94,1.9,-0.5,1.925,1.975,-0.5
3,0,2,0,1.6669999999999998,3.4,5.5,1.6,3.5,5.25,1.7,3.4,5.1,1.7,3.2,4.2,1.615,3.5,4.5,1.72,3.4,4.5,1.8,2.9,4.5,1.75,1.95,1.75,2.05,2.05,1.7,-1.0,1.84,2.0,-0.75,1.95,1.95,-0.75
3,1,1,1,1.8,3.5,4.333,1.7,3.3,4.75,1.7,3.4,5.1,1.8,3.1,3.8,1.7269999999999999,3.4,4.0,1.72,3.4,4.5,1.72,3.25,4.2,1.85,1.85,1.85,1.95,2.2,1.6,-1.0,2.1,1.74,-0.75,2.125,1.775,-0.75
0,0,0,0,1.571,3.5,6.5,1.5,3.55,6.5,1.55,3.6,6.5,1.55,3.5,4.8,1.571,3.5,5.0,1.61,3.4,5.5,1.57,3.3,5.5,1.79,1.9,1.9,1.9,2.05,1.7,-1.0,1.88,1.96,-0.75,1.875,2.025,-0.75
0,0,0,0,1.8330000000000002,3.3,4.333,1.95,3.25,3.55,2.0,3.35,3.6,1.9,3.1,3.5,1.8330000000000002,3.2,3.75,2.0,3.2,3.5,1.8,3.3,3.75,1.85,1.85,1.9,1.9,1.8,2.05,-0.25,2.0,1.84,-0.5,1.8,2.1,-0.25
2,2,1,0,1.25,5.0,13.0,1.3,4.5,9.0,1.27,5.0,11.0,1.3,4.2,8.0,1.25,4.5,10.0,1.25,5.0,10.0,1.2,5.0,11.0,1.55,2.25,1.65,2.2,1.67,2.1,-1.25,,,,1.975,1.925,-1.5
1,1,0,0,1.9,3.1,4.33,1.85,3.2,4.0,1.9,3.3,4.0,1.8,3.1,3.8,1.91,3.25,3.4,1.91,3.25,3.75,1.8,3.3,3.75,1.9,1.79,2.05,1.75,1.65,2.15,-0.25,1.9,1.94,-0.5,1.95,1.95,-0.5
1,0,0,0,2.2,3.25,3.2,2.0,3.15,3.5,2.15,3.2,3.3,2.0,3.1,3.2,2.1,3.2,3.0,2.2,3.25,3.0,2.15,3.0,3.1,1.85,1.85,1.95,1.85,1.55,2.35,0.0,1.82,2.02,-0.25,2.15,1.75,-0.5
1,2,0,0,2.6,3.2,2.62,2.5,3.25,2.55,2.65,3.2,2.55,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.62,2.5,3.1,2.5,1.85,1.85,1.95,1.85,2.3,1.55,-0.25,2.04,1.8,0.0,2.05,1.85,0.0
0,0,0,0,2.75,3.2,2.5,2.75,3.2,2.35,2.8,3.25,2.4,2.5,3.0,2.5,2.6,3.2,2.38,2.62,3.2,2.5,2.62,2.9,2.5,1.9,1.79,1.95,1.85,2.4,1.52,-0.25,2.0,1.84,0.0,2.05,1.85,0.0
1,1,0,0,2.5,3.2,2.75,2.3,3.15,2.85,2.4,3.25,2.8,2.2,3.0,2.9,2.38,3.2,2.6,2.4,3.2,2.7,2.37,3.1,2.62,1.95,1.75,2.05,1.75,2.2,1.6,-0.25,1.82,2.02,0.0,1.8,2.1,0.0
0,0,0,0,1.5,3.6,7.5,1.5,3.6,6.25,1.5,3.7,7.0,1.4,3.9,6.0,1.5,3.4,6.0,1.44,3.75,7.0,1.44,3.5,7.0,1.75,1.95,1.95,1.85,2.2,1.6,-1.25,1.84,2.0,-1.0,1.85,2.05,-1.0
1,0,0,0,2.5,3.2,2.75,2.35,3.2,2.75,2.4,3.25,2.8,2.4,3.0,2.6,2.25,3.2,2.75,2.38,3.2,2.75,2.37,3.1,2.62,1.85,1.85,2.0,1.8,2.1,1.67,-0.25,1.84,2.0,0.0,1.8,2.1,0.0
1,2,0,1,2.87,3.25,2.37,2.5,3.15,2.6,2.6,3.25,2.55,2.5,3.0,2.5,2.6,3.2,2.38,2.75,3.2,2.38,2.75,3.2,2.25,1.85,1.85,2.0,1.8,2.6,1.45,-0.25,2.04,1.8,0.0,2.1,1.8,0.0
2,1,1,0,2.0,3.2,3.75,1.9,3.2,3.8,2.0,3.2,3.75,2.1,3.0,3.1,1.83,3.2,3.75,1.91,3.25,3.75,2.0,3.0,3.4,1.85,1.85,2.0,1.8,1.55,2.3,0.0,1.9,1.94,-0.25,1.85,2.05,-0.25
1,1,1,1,1.5,3.6,7.5,1.4,4.0,7.25,1.45,3.9,7.5,1.45,3.8,5.4,1.36,3.75,8.0,1.5,3.6,6.5,1.5,3.4,6.0,1.75,1.95,1.9,1.9,1.95,1.9,-1.25,1.94,1.9,-1.25,2.025,1.875,-1.25
1,1,1,0,2.0,3.2,3.75,1.85,3.3,3.85,2.0,3.25,3.7,1.9,3.1,3.5,1.8,3.2,4.0,1.91,3.25,3.75,2.0,3.1,3.3,1.9,1.79,2.05,1.75,1.6,2.2,-0.25,1.98,1.86,-0.5,2.0,1.9,-0.5
1,0,1,0,2.0,3.2,3.75,1.95,3.2,3.6,2.0,3.2,3.75,1.85,3.1,3.6,1.83,3.2,3.75,1.91,3.25,3.75,1.83,3.2,3.75,1.95,1.75,2.05,1.75,1.6,2.2,-0.25,2.04,1.8,-0.5,2.125,1.775,-0.5
3,0,2,0,1.4,4.0,9.0,1.35,4.0,9.0,1.45,3.9,7.5,1.4,3.9,6.0,1.36,3.75,8.0,1.4,4.0,7.5,1.36,3.75,8.0,1.79,1.9,1.9,1.9,1.7,2.05,-1.0,2.02,1.82,-1.25,2.075,1.825,-1.25
0,1,0,1,6.5,3.5,1.57,5.65,3.55,1.55,5.5,3.5,1.62,5.0,3.7,1.5,6.0,3.4,1.5,5.5,3.6,1.57,6.0,3.4,1.5,1.75,1.95,1.65,2.2,2.05,1.8,0.75,2.1,1.74,0.75,2.1,1.8,0.75
0,1,0,0,3.5,3.2,2.1,3.2,3.2,2.1,3.3,3.2,2.15,3.2,3.1,2.0,3.75,3.2,1.83,3.5,3.2,2.0,3.1,3.1,2.1,1.95,1.75,2.1,1.7,2.05,1.8,0.25,2.1,1.74,0.25,2.05,1.85,0.25
3,1,0,0,1.5,3.75,7.0,1.4,4.0,7.25,1.45,3.9,7.5,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.75,7.0,1.53,3.1,6.5,1.75,1.95,1.85,1.95,1.6,2.2,-1.0,1.94,1.9,-1.25,2.05,1.85,-1.25
0,1,0,1,3.4,3.25,2.1,3.2,3.2,2.1,3.3,3.2,2.15,3.2,3.1,2.0,3.0,3.2,2.1,3.25,3.2,2.1,3.2,3.0,2.1,1.9,1.79,1.95,1.85,2.0,1.85,0.25,2.1,1.74,0.25,1.775,2.125,0.5
0,1,0,0,2.25,3.2,3.1,2.25,3.1,3.0,2.25,3.2,3.1,2.3,3.0,2.7,2.25,3.2,2.75,2.2,3.25,3.0,2.1,3.2,3.0,1.9,1.79,1.95,1.85,1.95,1.9,-0.25,1.98,1.86,-0.25,1.975,1.925,-0.25
1,0,0,0,2.1,3.25,3.4,1.9,3.25,3.75,2.1,3.2,3.45,2.0,3.1,3.2,1.91,3.2,3.5,2.0,3.2,3.5,1.95,3.1,3.5,1.85,1.85,2.0,1.8,1.85,2.0,-0.25,2.1,1.74,-0.5,1.85,2.05,-0.25
4,0,1,0,1.28,5.0,10.0,1.2,5.5,11.5,1.27,5.25,10.0,1.33,4.0,7.5,1.2,5.0,11.0,1.25,5.0,10.0,1.22,5.0,9.5,1.6,2.15,1.7,2.1,1.7,2.05,-1.25,1.98,1.86,-1.5,2.0,1.9,-1.5
2,2,1,1,2.37,3.25,2.87,2.45,3.1,2.7,2.4,3.15,2.9,2.3,3.0,2.7,2.38,3.2,2.6,2.4,3.2,2.7,2.37,3.0,2.7,2.0,1.71,2.1,1.7,2.05,1.7,-0.25,1.8,2.04,0.0,1.8,2.1,0.0
0,1,0,0,2.25,3.2,3.1,2.5,3.15,2.6,2.3,3.2,3.0,2.2,3.0,2.9,2.1,3.2,3.0,2.2,3.2,3.0,2.25,3.1,2.8,2.0,1.71,2.15,1.66,1.7,2.05,0.0,2.08,1.76,-0.25,2.05,1.85,-0.25
2,2,0,1,2.37,3.25,2.87,2.25,3.1,3.0,2.4,3.15,2.9,2.2,3.0,2.9,2.38,3.0,2.75,2.3,3.2,2.88,2.37,3.0,2.7,2.0,1.71,2.05,1.75,1.7,2.05,0.0,2.0,1.84,-0.25,2.025,1.875,-0.25
0,0,0,0,2.37,3.25,2.87,2.25,3.1,3.0,2.35,3.15,2.95,2.2,3.0,2.9,2.25,3.2,2.75,2.3,3.2,2.88,2.37,3.1,2.62,1.95,1.75,2.05,1.75,2.05,1.7,-0.25,2.08,1.76,-0.25,1.85,2.05,0.0
